"","Age","WorkType","EducationNum","MaritalStatus","Occupation","Relationship","Race","Sex","HoursPerWeek","NativeCountry"
"1",24," Private",13," Not-Married"," Professional"," Not-in-family"," White"," Male",50,"High-Income"
"2",50," Private",13," Not-Married"," Admin"," Not-in-family"," White"," Female",8,"High-Income"
"3",27," Private",9," Not-Married"," Skilled-Manual"," Own-child"," Black"," Male",30,"High-Income"
"4",21," Private",10," Not-Married"," Professional"," Not-in-family"," White"," Female",40,"High-Income"
"5",38," Private",12," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",40,"High-Income"
"6",46," State-gov",13," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"7",32," Private",13," Not-Married"," Professional"," Unmarried"," White"," Female",40,"High-Income"
"8",57," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"9",67," Private",9," Married"," Admin"," Husband"," White"," Male",35,"High-Income"
"10",46," Private",9," Married"," Service"," Husband"," Black"," Male",40,"High-Income"
"11",20," State-gov",10," Married"," Service"," Husband"," White"," Male",40,"High-Income"
"12",37," Private",10," Married"," Admin"," Husband"," White"," Male",37,"High-Income"
"13",33," Private",13," Not-Married"," Skilled-Manual"," Own-child"," White"," Male",20,"High-Income"
"14",23," Private",9," Not-Married"," Sales"," Own-child"," White"," Male",40,"High-Income"
"15",32," Private",13," Not-Married"," Professional"," Not-in-family"," White"," Male",50,"High-Income"
"16",40," Self-Employed",13," Married"," Professional"," Husband"," White"," Male",45,"High-Income"
"17",28," Self-Employed",9," Married"," Professional"," Husband"," White"," Male",40,"Upper-Middle-Income"
"18",56," State-gov",16," Married"," Professional"," Not-in-family"," Asian-Pac-Islander"," Male",40,"Lower-Middle-Income"
"19",48," Private",2," Married"," Skilled-Manual"," Husband"," White"," Male",50,"Upper-Middle-Income"
"20",27," Private",13," Married"," Sales"," Husband"," White"," Male",45,"High-Income"
"21",33," Private",10," Not-Married"," Professional"," Own-child"," White"," Male",45,"High-Income"
"22",50," Self-Employed",10," Married"," Manual"," Husband"," White"," Male",70,"High-Income"
"23",33," Local-gov",14," Not-Married"," Professional"," Not-in-family"," White"," Female",50,"High-Income"
"24",47," Private",10," Widowed"," Admin"," Unmarried"," White"," Female",40,"High-Income"
"25",32," Private",11," Not-Married"," Service"," Unmarried"," Black"," Female",40,"High-Income"
"26",63," Private",13," Not-Married"," Professional"," Not-in-family"," White"," Male",40,"High-Income"
"27",60," Private",4," Married"," Manual"," Wife"," White"," Female",40,"High-Income"
"28",26," Private",13," Not-Married"," Sales"," Own-child"," White"," Male",45,"High-Income"
"29",61," Private",9," Widowed"," Admin"," Unmarried"," White"," Female",24,"High-Income"
"30",28," Private",9," Not-Married"," Professional"," Own-child"," Asian-Pac-Islander"," Female",40,"High-Income"
"31",28," State-gov",10," Not-Married"," Admin"," Not-in-family"," White"," Female",38,"High-Income"
"32",29," Private",5," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"33",49," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",46,"High-Income"
"34",30," Private",13," Not-Married"," Professional"," Not-in-family"," Black"," Male",50,"High-Income"
"35",59," Private",10," Not-Married"," Manual"," Not-in-family"," White"," Male",56,"High-Income"
"36",82," Private",4," Married"," Manual"," Husband"," White"," Male",2,"High-Income"
"37",54," Local-gov",9," Married"," Skilled-Manual"," Husband"," Black"," Male",40,"High-Income"
"38",43," Private",13," Not-Married"," Sales"," Unmarried"," Black"," Female",35,"High-Income"
"39",46," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"40",22," Private",9," Not-Married"," Skilled-Manual"," Own-child"," White"," Female",40,"High-Income"
"41",47," Private",12," Married"," Professional"," Wife"," Black"," Female",40,"High-Income"
"42",55," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",50,"High-Income"
"43",51," State-gov",10," Married"," Sales"," Husband"," White"," Male",40,"High-Income"
"44",38," Private",10," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"45",22," Private",10," Not-Married"," Service"," Own-child"," White"," Male",30,"High-Income"
"46",50," Private",13," Married"," Professional"," Husband"," White"," Male",50,"High-Income"
"47",66," Private",10," Married"," Professional"," Husband"," White"," Male",45,"High-Income"
"48",27," Local-gov",13," Not-Married"," Professional"," Not-in-family"," White"," Female",45,"High-Income"
"49",27," Self-Employed",10," Married"," Professional"," Husband"," White"," Male",45,"High-Income"
"50",43," Private",10," Not-Married"," Admin"," Not-in-family"," White"," Male",25,"High-Income"
"51",67," Private",6," Married"," Skilled-Manual"," Husband"," White"," Male",16,"High-Income"
"52",27," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",35,"High-Income"
"53",29," Private",13," Not-Married"," Professional"," Unmarried"," Black"," Female",40,"High-Income"
"54",37," Local-gov",10," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"55",38," Private",5," Married"," Skilled-Manual"," Husband"," Black"," Male",40,"High-Income"
"56",54," Private",13," Not-Married"," Service"," Own-child"," Black"," Female",36,"High-Income"
"57",25," Self-Employed",12," Not-Married"," Sales"," Not-in-family"," White"," Male",50,"High-Income"
"58",25," Private",10," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Female",45,"High-Income"
"59",65," Private",7," Married"," Manual"," Husband"," White"," Male",20,"High-Income"
"60",60," Private",11," Not-Married"," Professional"," Unmarried"," White"," Female",40,"High-Income"
"61",37," Private",2," Married"," Skilled-Manual"," Husband"," White"," Male",40,"Upper-Middle-Income"
"62",28," Private",13," Not-Married"," Admin"," Own-child"," White"," Female",40,"High-Income"
"63",40," State-gov",16," Married"," Professional"," Husband"," Asian-Pac-Islander"," Male",40,"High-Income"
"64",35," Local-gov",9," Not-Married"," Other-Occupations"," Own-child"," White"," Male",40,"High-Income"
"65",48," Federal-gov",14," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"66",51," Private",13," Not-Married"," Sales"," Not-in-family"," White"," Female",60,"High-Income"
"67",37," Self-Employed",9," Married"," Sales"," Husband"," White"," Male",50,"High-Income"
"68",24," Private",9," Not-Married"," Admin"," Own-child"," White"," Male",40,"High-Income"
"69",54," Private",10," Not-Married"," Manual"," Not-in-family"," White"," Male",60,"High-Income"
"70",34," Private",12," Not-Married"," Skilled-Manual"," Own-child"," Black"," Female",40,"High-Income"
"71",59," Private",7," Married"," Manual"," Husband"," White"," Male",40,"High-Income"
