"","Age","WorkType","EducationNum","MaritalStatus","Occupation","Relationship","Race","Sex","HoursPerWeek","NativeCountry"
"1",39," State-gov",13," Not-Married"," Admin"," Not-in-family"," White"," Male",40,"High-Income"
"2",50," Self-Employed",13," Married"," Professional"," Husband"," White"," Male",13,"High-Income"
"3",38," Private",9," Not-Married"," Manual"," Not-in-family"," White"," Male",40,"High-Income"
"4",53," Private",7," Married"," Manual"," Husband"," Black"," Male",40,"High-Income"
"5",49," Private",5," Not-Married"," Service"," Not-in-family"," Black"," Female",16,"Upper-Middle-Income"
"6",52," Self-Employed",9," Married"," Professional"," Husband"," White"," Male",45,"High-Income"
"7",31," Private",14," Not-Married"," Professional"," Not-in-family"," White"," Female",50,"High-Income"
"8",42," Private",13," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"9",37," Private",10," Married"," Professional"," Husband"," Black"," Male",80,"High-Income"
"10",30," State-gov",13," Married"," Professional"," Husband"," Asian-Pac-Islander"," Male",40,"Lower-Middle-Income"
"11",23," Private",13," Not-Married"," Admin"," Own-child"," White"," Female",30,"High-Income"
"12",34," Private",4," Married"," Skilled-Manual"," Husband"," Amer-Indian-Eskimo"," Male",45,"Upper-Middle-Income"
"13",38," Private",7," Married"," Sales"," Husband"," White"," Male",50,"High-Income"
"14",43," Self-Employed",14," Not-Married"," Professional"," Unmarried"," White"," Female",45,"High-Income"
"15",40," Private",16," Married"," Professional"," Husband"," White"," Male",60,"High-Income"
"16",54," Private",9," Not-Married"," Service"," Unmarried"," Black"," Female",20,"High-Income"
"17",35," Federal-gov",5," Married"," Skilled-Manual"," Husband"," Black"," Male",40,"High-Income"
"18",43," Private",7," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"19",59," Private",9," Not-Married"," Professional"," Unmarried"," White"," Female",40,"High-Income"
"20",19," Private",9," Not-Married"," Skilled-Manual"," Own-child"," White"," Male",40,"High-Income"
"21",23," Local-gov",12," Not-Married"," Other-Occupations"," Not-in-family"," White"," Male",52,"High-Income"
"22",20," Private",10," Not-Married"," Sales"," Own-child"," Black"," Male",44,"High-Income"
"23",45," Private",13," Not-Married"," Professional"," Own-child"," White"," Male",40,"High-Income"
"24",30," Federal-gov",10," Married"," Admin"," Own-child"," White"," Male",40,"High-Income"
"25",22," State-gov",10," Married"," Service"," Husband"," Black"," Male",15,"High-Income"
"26",48," Private",7," Not-Married"," Manual"," Unmarried"," White"," Male",40,"High-Income"
"27",21," Private",10," Not-Married"," Manual"," Own-child"," White"," Male",40,"High-Income"
"28",19," Private",9," Married"," Admin"," Wife"," White"," Female",25,"High-Income"
"29",31," Private",5," Married"," Manual"," Husband"," White"," Male",43,"High-Income"
